dataset,arm,seed,gate_index,model,auc_roc,accuracy,overall_fairness_passed,attribute,disparate_impact,demographic_parity_difference,equal_opportunity_difference,protected,excluded_groups,violation,decision,decision_reason
adult,C,7,1,RandomForest,0.904,0.8568,False,race,0.2041,0.1716,0.3252,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,1,RandomForest,0.904,0.8568,False,marital-status,0.053,0.3738,0.3192,False,Married-AF-spouse=6,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,1,RandomForest,0.904,0.8568,False,occupation,0.0,0.4749,0.5457,False,Armed-Forces=5,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,2,LogisticRegression,0.8796,0.8311,False,age,0.0344,0.2499,0.3305,True,,True,approve,violation remains but reroutes are exhausted
adult,C,7,2,LogisticRegression,0.8796,0.8311,False,sex,0.2991,0.1556,0.114,True,,True,approve,violation remains but reroutes are exhausted
adult,C,7,2,LogisticRegression,0.8796,0.8311,False,race,0.2021,0.1737,0.3802,True,,True,approve,violation remains but reroutes are exhausted
adult,C,7,2,LogisticRegression,0.8796,0.8311,False,marital-status,0.0397,0.3318,0.298,False,Married-AF-spouse=6,True,approve,violation remains but reroutes are exhausted
adult,C,7,2,LogisticRegression,0.8796,0.8311,False,occupation,0.0,0.4589,0.5953,False,Armed-Forces=5,True,approve,violation remains but reroutes are exhausted
adult,C,19,0,XGBoost,0.9243,0.8724,False,age,0.0188,0.2454,0.3046,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,0,XGBoost,0.9243,0.8724,False,sex,0.3055,0.1816,0.09,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,0,XGBoost,0.9243,0.8724,False,race,0.212,0.1907,0.2146,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,0,XGBoost,0.9243,0.8724,False,marital-status,0.0553,0.3778,0.3456,False,Married-AF-spouse=4,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,0,XGBoost,0.9243,0.8724,False,occupation,0.0,0.4722,0.5952,False,Armed-Forces=5,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,1,RandomForest,0.9032,0.8562,False,age,0.0147,0.2416,0.4468,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,1,RandomForest,0.9032,0.8562,False,sex,0.2997,0.1804,0.1233,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,1,RandomForest,0.9032,0.8562,False,race,0.3041,0.1467,0.1363,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,1,RandomForest,0.9032,0.8562,False,marital-status,0.0432,0.3787,0.4377,False,Married-AF-spouse=4,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,1,RandomForest,0.9032,0.8562,False,occupation,0.0,0.4598,0.5098,False,Armed-Forces=5,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,19,2,LogisticRegression,0.8783,0.8286,False,age,0.0433,0.2366,0.2654,True,,True,approve,violation remains but reroutes are exhausted
adult,C,19,2,LogisticRegression,0.8783,0.8286,False,sex,0.2931,0.1529,0.0842,True,,True,approve,violation remains but reroutes are exhausted
adult,C,19,2,LogisticRegression,0.8783,0.8286,False,race,0.2218,0.18,0.2645,True,,True,approve,violation remains but reroutes are exhausted
adult,C,19,2,LogisticRegression,0.8783,0.8286,False,marital-status,0.0457,0.3198,0.3508,False,Married-AF-spouse=4,True,approve,violation remains but reroutes are exhausted
adult,C,19,2,LogisticRegression,0.8783,0.8286,False,occupation,0.0,0.4255,0.6069,False,Armed-Forces=5,True,approve,violation remains but reroutes are exhausted
adult,C,73,0,XGBoost,0.9242,0.8699,False,age,0.019,0.2479,0.2517,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,0,XGBoost,0.9242,0.8699,False,sex,0.2911,0.1887,0.1227,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,0,XGBoost,0.9242,0.8699,False,race,0.2927,0.18,0.2974,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,0,XGBoost,0.9242,0.8699,False,marital-status,0.0604,0.3812,0.3367,False,Married-AF-spouse=5,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,0,XGBoost,0.9242,0.8699,False,occupation,0.0,0.5065,0.6392,False,Armed-Forces=2,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,1,RandomForest,0.9013,0.8558,False,age,0.0143,0.2482,0.2812,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,1,RandomForest,0.9013,0.8558,False,sex,0.2922,0.1868,0.111,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,1,RandomForest,0.9013,0.8558,False,race,0.414,0.1428,0.178,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,1,RandomForest,0.9013,0.8558,False,marital-status,0.0445,0.391,0.3998,False,Married-AF-spouse=5,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,1,RandomForest,0.9013,0.8558,False,occupation,0.0,0.4763,0.6762,False,Armed-Forces=2,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,73,2,LogisticRegression,0.8756,0.8269,False,age,0.0319,0.2729,0.2884,True,,True,approve,violation remains but reroutes are exhausted
